Frecuencia (Hz),PSD
-8017578.125000,-79.042045151071306
-8012695.312500,-79.098161164070774
-8007812.500000,-79.102349186641860
-8002929.687500,-78.861987279210439
-7998046.875000,-78.749723225597435
-7993164.062500,-79.149951345313596
-7988281.250000,-79.157524654153818
-7983398.437500,-79.121369601309780
-7978515.625000,-79.164531229640701
-7973632.812500,-79.158696954533696
-7968750.000000,-79.134675408919648
-7963867.187500,-79.153659278803033
-7958984.375000,-79.209949412756856
-7954101.562500,-79.110427754033822
-7949218.750000,-79.076753238297698
-7944335.937500,-79.088093921707014
-7939453.125000,-79.097065930454733
-7934570.312500,-79.101581977755316
-7929687.500000,-79.125770589774334
-7924804.687500,-79.097991671164834
-7919921.875000,-79.071723501028316
-7915039.062500,-79.067425586381901
-7910156.250000,-79.108468503088062
-7905273.437500,-79.139423291985068
-7900390.625000,-79.124458779311254
-7895507.812500,-79.043954814640969
-7890625.000000,-79.129048203720942
-7885742.187500,-79.158299643028514
-7880859.375000,-79.047732069700800
-7875976.562500,-79.029138510131915
-7871093.750000,-79.084056018241341
-7866210.937500,-79.120538737217430
-7861328.125000,-79.094865991277558
-7856445.312500,-79.102515210656620
-7851562.500000,-79.143565456342898
-7846679.687500,-79.200519489620874
-7841796.875000,-79.230963949314457
-7836914.062500,-79.114058753932028
-7832031.250000,-79.079326314703493
-7827148.437500,-79.188615084296899
-7822265.625000,-79.202374327750263
-7817382.812500,-79.174496855671094
-7812500.000000,-79.123969936535190
-7807617.187500,-79.063785498239511
-7802734.375000,-79.033567042630523
-7797851.562500,-79.105698514567834
-7792968.750000,-79.143864678464425
-7788085.937500,-79.149055721091642
-7783203.125000,-79.178354384905916
-7778320.312500,-79.099199363486264
-7773437.500000,-79.156838538669831
-7768554.687500,-79.194811480876098
-7763671.875000,-79.214771565637193
-7758789.062500,-79.127569850496556
-7753906.250000,-79.049950351818936
-7749023.437500,-78.989440815504196
-7744140.625000,-78.947311988930181
-7739257.812500,-78.919036039723835
-7734375.000000,-78.818378555731513
-7729492.187500,-78.839863457642068
-7724609.375000,-78.885550300144558
-7719726.562500,-78.766708493585369
-7714843.750000,-78.770919989655837
-7709960.937500,-78.750030326260841
-7705078.125000,-78.742004663711427
-7700195.312500,-78.749796118772210
-7695312.500000,-78.728383551400782
-7690429.687500,-78.734918999111940
-7685546.875000,-78.844844289747130
-7680664.062500,-78.887557333199950
-7675781.250000,-78.894847438096207
-7670898.437500,-78.887827953456039
