Frequency_Hz,Power_dBm
143517578.12,-66.7577
143527343.75,-66.8004
143537109.38,-66.7194
143546875.00,-66.7291
143556640.62,-66.7451
143566406.25,-66.7533
143576171.88,-66.7655
143585937.50,-66.7856
143595703.12,-66.7995
143605468.75,-66.7853
143615234.38,-66.7865
143625000.00,-66.6934
143634765.62,-66.7434
143644531.25,-66.7014
143654296.88,-66.7006
143664062.50,-66.6577
143673828.12,-66.6825
143683593.75,-66.7231
143693359.38,-66.6763
143703125.00,-66.6797
143712890.62,-66.7213
143722656.25,-66.8018
143732421.88,-66.7507
143742187.50,-66.7162
143751953.12,-66.7180
143761718.75,-66.7186
143771484.38,-66.7682
143781250.00,-66.7687
143791015.62,-66.7246
143800781.25,-66.6893
143810546.88,-66.6846
143820312.50,-66.6671
143830078.12,-66.7062
143839843.75,-66.7502
143849609.38,-66.7351
143859375.00,-66.7328
143869140.62,-66.7541
143878906.25,-66.7038
143888671.88,-66.7157
143898437.50,-66.7494
143908203.12,-66.7649
143917968.75,-66.6921
143927734.38,-66.6439
143937500.00,-66.6232
143947265.62,-66.6601
143957031.25,-66.7161
143966796.88,-66.7073
143976562.50,-66.6938
143986328.12,-66.3327
143996093.75,-62.2448
144005859.38,-62.6822
144015625.00,-66.4315
144025390.62,-66.7056
144035156.25,-66.7086
144044921.88,-66.6821
144054687.50,-66.7734
144064453.12,-66.8139
144074218.75,-66.7918
144083984.38,-66.7413
144093750.00,-66.7290
144103515.62,-66.6612
144113281.25,-66.7542
144123046.88,-66.7531
144132812.50,-66.6788
144142578.12,-66.7536
144152343.75,-66.8350
144162109.38,-66.8136
144171875.00,-66.7184
144181640.62,-66.7203
144191406.25,-66.7558
144201171.88,-66.7605
144210937.50,-66.8077
144220703.12,-66.7577
144230468.75,-66.6771
144240234.38,-66.7474
144250000.00,-66.7764
144259765.62,-66.7503
144269531.25,-66.7861
144279296.88,-66.7883
144289062.50,-66.8173
144298828.12,-66.8396
144308593.75,-66.7578
144318359.38,-66.7450
144328125.00,-66.7197
144337890.62,-66.7393
144347656.25,-66.7392
144357421.88,-66.7531
144367187.50,-66.7387
144376953.12,-66.7154
144386718.75,-66.7692
144396484.38,-66.7656
144406250.00,-66.7800
144416015.62,-66.7749
144425781.25,-66.7264
144435546.88,-66.8235
144445312.50,-66.7492
144455078.12,-66.7189
144464843.75,-66.7024
144474609.38,-66.7156
144484375.00,-66.7333
144494140.62,-66.6855
144503906.25,-66.7162
144513671.88,-66.7014
144523437.50,-66.7412
144533203.12,-66.7146
144542968.75,-66.6875
144552734.38,-66.7381
144562500.00,-66.7345
144572265.62,-66.8353
144582031.25,-66.8638
144591796.88,-66.8069
144601562.50,-66.7748
144611328.12,-66.7447
144621093.75,-66.7237
144630859.38,-66.7328
144640625.00,-66.7197
144650390.62,-66.7366
144660156.25,-66.7661
144669921.88,-66.7592
144679687.50,-66.7467
144689453.12,-66.6912
144699218.75,-66.7217
144708984.38,-66.7189
144718750.00,-66.7653
144728515.62,-66.8067
144738281.25,-66.7844
144748046.88,-66.8270
144757812.50,-66.7865
144767578.12,-66.6987
144777343.75,-66.7847
144787109.38,-66.8002
144796875.00,-66.7452
144806640.62,-66.7182
144816406.25,-66.6267
144826171.88,-66.6604
144835937.50,-66.6884
144845703.12,-66.7573
144855468.75,-66.7701
144865234.38,-66.7402
144875000.00,-66.6878
144884765.62,-66.7155
144894531.25,-66.7379
144904296.88,-66.7595
144914062.50,-66.7521
144923828.12,-66.6922
144933593.75,-66.7565
144943359.38,-66.7582
144953125.00,-66.7433
144962890.62,-66.7648
144972656.25,-66.7999
144982421.88,-66.8031
144992187.50,-66.8086
145001953.12,-66.7545
145011718.75,-66.8361
145021484.38,-66.7192
145031250.00,-66.7231
145041015.62,-66.7797
145050781.25,-66.8165
145060546.88,-66.7630
145070312.50,-66.6693
145080078.12,-66.7227
145089843.75,-66.7051
145099609.38,-66.7380
145109375.00,-66.7852
145119140.62,-66.7762
145128906.25,-66.7856
145138671.88,-66.8018
145148437.50,-66.7880
145158203.12,-66.7442
145167968.75,-66.7633
145177734.38,-66.7311
145187500.00,-66.7634
145197265.62,-66.7700
145207031.25,-66.7699
145216796.88,-66.8034
145226562.50,-66.7317
145236328.12,-66.7516
145246093.75,-66.8130
145255859.38,-66.7760
145265625.00,-66.7652
145275390.62,-66.7961
145285156.25,-66.7269
145294921.88,-66.8431
145304687.50,-66.8375
145314453.12,-66.8066
145324218.75,-66.7793
145333984.38,-66.8646
145343750.00,-66.8172
145353515.62,-66.7760
145363281.25,-66.8016
145373046.88,-66.7305
145382812.50,-66.7920
145392578.12,-66.8211
145402343.75,-66.7327
145412109.38,-66.6960
145421875.00,-66.7629
145431640.62,-66.8115
145441406.25,-66.8632
145451171.88,-66.8454
145460937.50,-66.9069
145470703.12,-66.9366
145480468.75,-66.8218
145490234.38,-66.7360
145500000.00,-66.7555
145509765.62,-66.8067
145519531.25,-66.7858
145529296.88,-66.7375
145539062.50,-66.7416
145548828.12,-66.7894
145558593.75,-66.7701
145568359.38,-66.8034
145578125.00,-66.8075
145587890.62,-66.8346
145597656.25,-66.8397
145607421.88,-66.8474
145617187.50,-66.9162
145626953.12,-66.8943
145636718.75,-66.7615
145646484.38,-66.7249
145656250.00,-66.7652
145666015.62,-66.6847
145675781.25,-66.7135
145685546.88,-66.8195
145695312.50,-66.9173
145705078.12,-66.8755
145714843.75,-66.7716
145724609.38,-66.8248
145734375.00,-66.8398
145744140.62,-66.8224
145753906.25,-66.8570
145763671.88,-66.8794
145773437.50,-66.8051
145783203.12,-66.8722
145792968.75,-66.8740
145802734.38,-66.8739
145812500.00,-66.7994
145822265.62,-66.8313
145832031.25,-66.8575
145841796.88,-66.8674
145851562.50,-66.8385
145861328.12,-66.7370
145871093.75,-66.7813
145880859.38,-66.7937
145890625.00,-66.8460
145900390.62,-66.8426
145910156.25,-66.8439
145919921.88,-66.8444
145929687.50,-66.8438
145939453.12,-66.8583
145949218.75,-66.8398
145958984.38,-66.7993
145968750.00,-66.7690
145978515.62,-66.7828
145988281.25,-66.7398
145998046.88,-66.6853
146007812.50,-66.7442
146017578.12,-66.8341
146027343.75,-66.7934
146037109.38,-66.7898
146046875.00,-66.8312
146056640.62,-66.8052
146066406.25,-66.8531
146076171.88,-66.8672
146085937.50,-66.8600
146095703.12,-66.8850
146105468.75,-66.8331
146115234.38,-66.8325
146125000.00,-66.8575
146134765.62,-66.9316
146144531.25,-66.9257
146154296.88,-66.8886
146164062.50,-66.8371
146173828.12,-66.7945
146183593.75,-66.8294
146193359.38,-66.8131
146203125.00,-66.8129
146212890.62,-66.8613
146222656.25,-66.8402
146232421.88,-66.8602
146242187.50,-66.8475
146251953.12,-66.8606
146261718.75,-66.8078
146271484.38,-66.7610
146281250.00,-66.8464
146291015.62,-66.8505
146300781.25,-66.8303
146310546.88,-66.7329
146320312.50,-66.7134
146330078.12,-66.8180
146339843.75,-66.8325
146349609.38,-66.9021
146359375.00,-66.9439
146369140.62,-66.8783
146378906.25,-66.8949
146388671.88,-66.8174
146398437.50,-66.7874
146408203.12,-66.8603
146417968.75,-66.8070
146427734.38,-66.7981
146437500.00,-66.8200
146447265.62,-66.8214
146457031.25,-66.8053
146466796.88,-66.8685
146476562.50,-66.8517
146486328.12,-66.8694
146496093.75,-66.8754
146505859.38,-66.9026
146515625.00,-66.8722
146525390.62,-66.8064
146535156.25,-66.8160
146544921.88,-66.7683
146554687.50,-66.7953
146564453.12,-66.7932
146574218.75,-66.9009
146583984.38,-66.8234
146593750.00,-66.8004
146603515.62,-66.8119
146613281.25,-66.7876
146623046.88,-66.7524
146632812.50,-66.7546
146642578.12,-66.7630
146652343.75,-66.7912
146662109.38,-66.8511
146671875.00,-66.8558
146681640.62,-66.7243
146691406.25,-66.7904
146701171.88,-66.8310
146710937.50,-66.8587
146720703.12,-66.8128
146730468.75,-66.8022
146740234.38,-66.7842
146750000.00,-66.8046
146759765.62,-66.8506
146769531.25,-66.6799
146779296.88,-66.7017
146789062.50,-66.8098
146798828.12,-66.7724
146808593.75,-66.7834
146818359.38,-66.6986
146828125.00,-66.7327
146837890.62,-66.7868
146847656.25,-66.7311
146857421.88,-66.7695
146867187.50,-66.7554
146876953.12,-66.8934
146886718.75,-66.9335
146896484.38,-66.8228
146906250.00,-66.7488
146916015.62,-66.7716
146925781.25,-66.7922
146935546.88,-66.7763
146945312.50,-66.7264
146955078.12,-66.7549
146964843.75,-66.7220
146974609.38,-66.6998
146984375.00,-66.6953
146994140.62,-66.6701
147003906.25,-66.6815
147013671.88,-66.7583
147023437.50,-66.7687
147033203.12,-66.7536
147042968.75,-66.7979
147052734.38,-66.8257
147062500.00,-66.7702
147072265.62,-66.7568
147082031.25,-66.7749
147091796.88,-66.7495
147101562.50,-66.7298
147111328.12,-66.7721
147121093.75,-66.7419
147130859.38,-66.7355
147140625.00,-66.7642
147150390.62,-66.7319
147160156.25,-66.7548
147169921.88,-66.7284
147179687.50,-66.6911
147189453.12,-66.7051
147199218.75,-66.6957
147208984.38,-66.6760
147218750.00,-66.7607
147228515.62,-66.7872
147238281.25,-66.8227
147248046.88,-66.8567
147257812.50,-66.7820
147267578.12,-66.8186
147277343.75,-66.7622
147287109.38,-66.7511
147296875.00,-66.7335
147306640.62,-66.6707
147316406.25,-66.7309
147326171.88,-66.7730
147335937.50,-66.7249
147345703.12,-66.7075
147355468.75,-66.7160
147365234.38,-66.7684
147375000.00,-66.7402
147384765.62,-66.6923
147394531.25,-66.7588
147404296.88,-66.7020
147414062.50,-66.6898
147423828.12,-66.6242
147433593.75,-66.6862
147443359.38,-66.7471
147453125.00,-66.7038
147462890.62,-66.7114
147472656.25,-66.7841
147482421.88,-66.7660
147492187.50,-66.7342
147501953.12,-66.6787
147511718.75,-66.6167
147521484.38,-66.6054
147531250.00,-66.6002
147541015.62,-66.5826
147550781.25,-66.6451
147560546.88,-66.6833
147570312.50,-66.6872
147580078.12,-66.7490
147589843.75,-66.6826
147599609.38,-66.7041
147609375.00,-66.6166
147619140.62,-66.6171
147628906.25,-66.6358
147638671.88,-66.6198
147648437.50,-66.6154
147658203.12,-66.6251
147667968.75,-66.6856
147677734.38,-66.6883
147687500.00,-66.6165
147697265.62,-66.5654
147707031.25,-66.6365
147716796.88,-66.6984
147726562.50,-66.6398
147736328.12,-66.6127
147746093.75,-66.5524
147755859.38,-66.5858
147765625.00,-66.6387
147775390.62,-66.5908
147785156.25,-66.6451
147794921.88,-66.6292
147804687.50,-66.6203
147814453.12,-66.5692
147824218.75,-66.5750
147833984.38,-66.6246
147843750.00,-66.6317
147853515.62,-66.5412
147863281.25,-66.5226
147873046.88,-66.5139
147882812.50,-66.4614
147892578.12,-66.4955
147902343.75,-66.4476
147912109.38,-66.4700
147921875.00,-66.4534
147931640.62,-66.3516
147941406.25,-66.2394
147951171.88,-66.2243
147960937.50,-66.1185
147970703.12,-65.8723
