# Freq,Power
1.053306613226452917e+08,-5.581376383298524502e+01
1.053507014028056115e+08,-5.559552677655360498e+01
1.053707414829659313e+08,-5.777404072669816770e+01
1.053907815631262511e+08,-5.784240213592610047e+01
1.054108216432865709e+08,-5.733998426211102384e+01
1.054308617234468907e+08,-5.733637753949960114e+01
1.054509018036072105e+08,-5.742534760678663730e+01
1.054709418837675303e+08,-5.697367215975132382e+01
1.054909819639278501e+08,-5.711423712000205200e+01
1.055110220440881699e+08,-5.942592972537684659e+01
1.055310621242485046e+08,-5.970154895614560076e+01
1.055511022044088244e+08,-6.193663511007358125e+01
1.055711422845691442e+08,-5.965232940523529948e+01
1.055911823647294641e+08,-6.207578693934262759e+01
1.056112224448897839e+08,-6.181913215788761562e+01
1.056312625250501037e+08,-6.298795057502471195e+01
1.056513026052104235e+08,-6.405069703730777064e+01
1.056713426853707433e+08,-6.347951724522120998e+01
1.056913827655310631e+08,-6.431602930162517850e+01
1.057114228456913829e+08,-6.415167654567760280e+01
1.057314629258517027e+08,-6.510139258198830703e+01
1.057515030060120225e+08,-6.605824225112678505e+01
1.057715430861723423e+08,-6.670251515225118055e+01
1.057915831663326621e+08,-6.659947573495635709e+01
1.058116232464929819e+08,-6.740228331378405358e+01
1.058316633266533017e+08,-6.638992691939787960e+01
1.058517034068136215e+08,-6.755526364597662337e+01
1.058717434869739413e+08,-6.804934574588563123e+01
1.058917835671342611e+08,-7.002521488204641287e+01
1.059118236472945958e+08,-7.047609370168660803e+01
1.059318637274549156e+08,-6.800931185478421526e+01
1.059519038076152354e+08,-7.275528711167963536e+01
1.059719438877755553e+08,-7.394131570303154888e+01
1.059919839679358751e+08,-7.158329718466706026e+01
1.060120240480961949e+08,-7.307947438081389180e+01
1.060320641282565147e+08,-7.331574214996314254e+01
1.060521042084168345e+08,-7.577334705459280428e+01
1.060721442885771543e+08,-7.695445401467424063e+01
1.060921843687374741e+08,-7.455839292252805706e+01
1.061122244488977939e+08,-7.495382061699920939e+01
1.061322645290581137e+08,-7.732880931390555190e+01
1.061523046092184335e+08,-7.671156230754908734e+01
1.061723446893787533e+08,-7.766987389927871277e+01
1.061923847695390731e+08,-7.825294769715829091e+01
1.062124248496993929e+08,-7.766710086603291074e+01
1.062324649298597127e+08,-7.759119943520597928e+01
1.062525050100200474e+08,-7.958233659463520837e+01
1.062725450901803672e+08,-8.137209387087429491e+01
1.062925851703406870e+08,-8.073657468675698112e+01
1.063126252505010068e+08,-8.131729065290706160e+01
1.063326653306613266e+08,-8.178823477225499516e+01
1.063527054108216465e+08,-8.304338213186345286e+01
1.063727454909819663e+08,-8.489412038699271079e+01
1.063927855711422861e+08,-8.441760619105849628e+01
1.064128256513026059e+08,-8.516702569262589861e+01
1.064328657314629257e+08,-8.540744562571968856e+01
1.064529058116232455e+08,-8.565856526374669500e+01
1.064729458917835653e+08,-8.633197839104150262e+01
1.064929859719438851e+08,-8.663237713320509670e+01
1.065130260521042049e+08,-8.721661533786442533e+01
1.065330661322645247e+08,-8.704368092978373284e+01
1.065531062124248445e+08,-8.884065587218776727e+01
1.065731462925851643e+08,-8.820210100202871217e+01
1.065931863727454841e+08,-8.810858701532112036e+01
1.066132264529058039e+08,-8.986062998934249890e+01
1.066332665330661386e+08,-9.135365481374969931e+01
1.066533066132264584e+08,-9.123341156227618853e+01
1.066733466933867782e+08,-9.031665451358244923e+01
1.066933867735470980e+08,-9.105864742666446432e+01
1.067134268537074178e+08,-9.341294583038450128e+01
1.067334669338677377e+08,-9.033002251275182459e+01
1.067535070140280575e+08,-9.330745345261053103e+01
1.067735470941883773e+08,-9.251093119576692914e+01
1.067935871743486971e+08,-9.293142392704841370e+01
1.068136272545090169e+08,-9.306131427646479892e+01
1.068336673346693367e+08,-9.199307686449506605e+01
1.068537074148296565e+08,-9.492433321763543574e+01
1.068737474949899763e+08,-9.224641084650207290e+01
1.068937875751502961e+08,-9.570097682656057714e+01
1.069138276553106159e+08,-9.629233321129335366e+01
1.069338677354709357e+08,-9.494567099122856746e+01
1.069539078156312704e+08,-9.781549999314269428e+01
1.069739478957915902e+08,-9.422674842499208125e+01
1.069939879759519100e+08,-9.663666757899534332e+01
1.070140280561122298e+08,-9.708884871552587015e+01
1.070340681362725496e+08,-9.602748551091916340e+01
1.070541082164328694e+08,-9.580077494642361557e+01
1.070741482965931892e+08,-9.869880692454499638e+01
1.070941883767535090e+08,-9.728869680731027358e+01
1.071142284569138288e+08,-9.762187862328751464e+01
