Frequency_Hz,Power_dBm
99565585.94,-66.6502
99570468.75,-66.5940
99575351.56,-66.6181
99580234.38,-66.6831
99585117.19,-66.6720
99590000.00,-66.6318
99594882.81,-66.6325
99599765.62,-66.7113
99604648.44,-66.5650
99609531.25,-66.6650
99614414.06,-66.6693
99619296.88,-66.5955
99624179.69,-66.7200
99629062.50,-66.7424
99633945.31,-66.6536
99638828.12,-66.5770
99643710.94,-66.5679
99648593.75,-66.6191
99653476.56,-66.7468
99658359.38,-66.7343
99663242.19,-66.6103
99668125.00,-66.7385
99673007.81,-66.7492
99677890.62,-66.5872
99682773.44,-66.5493
99687656.25,-66.6036
99692539.06,-66.5628
99697421.88,-66.5829
99702304.69,-66.5848
99707187.50,-66.5840
99712070.31,-66.3677
99716953.12,-66.1701
99721835.94,-66.5333
99726718.75,-66.7066
99731601.56,-66.6644
99736484.38,-66.6617
99741367.19,-66.6612
99746250.00,-66.5528
99751132.81,-66.4831
99756015.62,-66.5045
99760898.44,-66.3799
99765781.25,-66.3444
99770664.06,-66.3928
99775546.88,-66.4891
99780429.69,-66.6078
99785312.50,-66.6855
99790195.31,-66.6866
99795078.12,-66.7189
99799960.94,-66.6102
99804843.75,-66.6434
99809726.56,-66.6797
99814609.38,-66.6843
99819492.19,-66.6274
99824375.00,-66.6698
99829257.81,-66.6348
99834140.62,-66.7179
99839023.44,-66.7183
99843906.25,-66.6268
99848789.06,-66.6225
99853671.88,-66.6836
99858554.69,-66.6814
99863437.50,-66.7657
99868320.31,-66.7490
99873203.12,-66.6013
99878085.94,-66.6136
99882968.75,-66.6681
99887851.56,-66.6299
99892734.38,-66.6447
99897617.19,-66.6395
99902500.00,-66.6370
99907382.81,-66.7403
99912265.62,-66.6809
99917148.44,-66.7145
99922031.25,-66.7159
99926914.06,-66.7809
99931796.88,-66.6908
99936679.69,-66.6324
99941562.50,-66.6263
99946445.31,-66.6239
99951328.12,-66.6227
99956210.94,-66.6472
99961093.75,-66.7050
99965976.56,-66.6808
99970859.38,-66.6810
99975742.19,-66.7556
99980625.00,-66.7077
99985507.81,-66.7183
99990390.62,-66.7600
99995273.44,-66.6323
100000156.25,-66.7032
100005039.06,-66.8010
100009921.88,-66.7895
100014804.69,-66.7777
100019687.50,-66.6936
100024570.31,-66.7213
100029453.12,-66.7038
100034335.94,-66.6846
100039218.75,-66.6652
100044101.56,-66.7401
100048984.38,-66.7730
100053867.19,-66.7451
100058750.00,-66.7567
100063632.81,-66.8343
100068515.62,-66.7769
100073398.44,-66.6266
100078281.25,-66.6589
100083164.06,-66.7773
100088046.88,-66.6323
100092929.69,-66.6056
100097812.50,-66.6194
100102695.31,-66.6125
100107578.12,-66.6076
100112460.94,-66.6662
100117343.75,-66.6879
100122226.56,-66.6617
100127109.38,-66.6944
100131992.19,-66.6094
100136875.00,-66.6168
100141757.81,-66.6951
100146640.62,-66.6479
100151523.44,-66.7659
100156406.25,-66.6834
100161289.06,-66.7191
100166171.88,-66.6414
100171054.69,-66.6641
100175937.50,-66.6925
100180820.31,-66.6987
100185703.12,-66.6502
100190585.94,-66.7321
100195468.75,-66.7588
100200351.56,-66.6657
100205234.38,-66.5923
100210117.19,-66.6241
100215000.00,-66.6767
100219882.81,-66.6371
100224765.62,-66.7390
100229648.44,-66.7900
100234531.25,-66.7371
100239414.06,-66.6522
100244296.88,-66.6320
100249179.69,-66.6264
100254062.50,-66.6917
100258945.31,-66.6713
100263828.12,-66.6366
100268710.94,-66.5958
100273593.75,-66.6165
100278476.56,-66.6909
100283359.38,-66.6582
100288242.19,-66.6871
100293125.00,-66.7128
100298007.81,-66.7284
100302890.62,-66.7967
100307773.44,-66.7899
100312656.25,-66.6699
100317539.06,-66.6205
100322421.88,-66.6690
100327304.69,-66.8130
100332187.50,-66.8024
100337070.31,-66.5771
100341953.12,-66.6598
100346835.94,-66.7475
100351718.75,-66.7581
100356601.56,-66.7060
100361484.38,-66.6909
100366367.19,-66.7637
100371250.00,-66.6365
100376132.81,-66.6436
100381015.62,-66.6944
100385898.44,-66.7635
100390781.25,-66.7608
100395664.06,-66.6762
100400546.88,-66.5876
100405429.69,-66.5957
100410312.50,-66.6976
100415195.31,-66.6335
100420078.12,-66.6821
100424960.94,-66.7524
100429843.75,-66.7841
100434726.56,-66.8209
100439609.38,-66.8157
100444492.19,-66.6991
100449375.00,-66.7516
100454257.81,-66.7301
100459140.62,-66.7046
100464023.44,-66.7593
100468906.25,-66.7551
100473789.06,-66.7563
100478671.88,-66.6105
100483554.69,-66.6551
100488437.50,-66.7319
100493320.31,-66.6993
100498203.12,-66.6766
100503085.94,-66.6963
100507968.75,-66.7285
100512851.56,-66.7368
100517734.38,-66.7848
100522617.19,-66.6752
100527500.00,-66.6486
100532382.81,-66.6677
100537265.62,-66.7231
100542148.44,-66.8448
100547031.25,-66.8016
100551914.06,-66.7491
100556796.88,-66.6396
100561679.69,-66.5834
100566562.50,-66.7129
100571445.31,-66.6028
100576328.12,-66.6654
100581210.94,-66.8175
100586093.75,-66.7216
100590976.56,-66.6665
100595859.38,-66.6607
