# Origen Binario: fm_full_dataset.bin
# Frecuencia Central: 80000000 Hz
# Ancho de Banda: 20000000 Hz
# Ganancias: LNA=24 | VGA=10

Frequency_Hz,Power_dBm
73041992.19,-64.1844
73046875.00,-64.1286
73051757.81,-63.9639
73056640.62,-64.0177
73061523.44,-64.0053
73066406.25,-64.1752
73071289.06,-64.2389
73076171.88,-64.1847
73081054.69,-64.1579
73085937.50,-64.2283
73090820.31,-64.2040
73095703.12,-64.0220
73100585.94,-63.9673
73105468.75,-64.1459
73110351.56,-64.0606
73115234.38,-64.2270
73120117.19,-64.1546
73125000.00,-64.1191
73129882.81,-64.1453
73134765.62,-64.1057
73139648.44,-64.1300
73144531.25,-63.9964
73149414.06,-64.1685
73154296.88,-64.2009
73159179.69,-64.0754
73164062.50,-64.0676
73168945.31,-63.9884
73173828.12,-64.1035
73178710.94,-64.1920
73183593.75,-64.1732
73188476.56,-64.1622
73193359.38,-64.0258
73198242.19,-64.0713
73203125.00,-63.9939
73208007.81,-64.1079
73212890.62,-64.0710
73217773.44,-64.1875
73222656.25,-64.2279
73227539.06,-64.1748
73232421.88,-64.1525
73237304.69,-64.1673
73242187.50,-64.1545
73247070.31,-64.1107
73251953.12,-64.1085
73256835.94,-64.1872
73261718.75,-64.0819
73266601.56,-64.0954
73271484.38,-64.0735
73276367.19,-64.1155
73281250.00,-64.1265
73286132.81,-64.0806
73291015.62,-64.0590
73295898.44,-64.0923
73300781.25,-64.0405
73305664.06,-64.0250
73310546.88,-64.0974
73315429.69,-64.1808
73320312.50,-64.1918
73325195.31,-64.0763
73330078.12,-64.1322
73334960.94,-64.0769
73339843.75,-64.1597
73344726.56,-64.1685
73349609.38,-64.1433
73354492.19,-64.1401
73359375.00,-64.1894
73364257.81,-64.0986
73369140.62,-64.0330
73374023.44,-64.0838
73378906.25,-64.1420
73383789.06,-64.0590
73388671.88,-64.0528
73393554.69,-64.1063
73398437.50,-63.9375
73403320.31,-63.3835
73408203.12,-63.2547
73413085.94,-63.6868
73417968.75,-64.0235
73422851.56,-64.0006
73427734.38,-63.8974
73432617.19,-63.8502
73437500.00,-64.0774
73442382.81,-64.1534
73447265.62,-64.0642
73452148.44,-64.0978
73457031.25,-64.1646
73461914.06,-64.1210
73466796.88,-64.0726
73471679.69,-64.0889
73476562.50,-64.0395
73481445.31,-64.0068
73486328.12,-64.1101
73491210.94,-64.1232
73496093.75,-64.0588
73500976.56,-63.2715
73505859.38,-63.7173
73510742.19,-64.1681
73515625.00,-64.0788
73520507.81,-64.1532
73525390.62,-63.8514
73530273.44,-63.7866
73535156.25,-64.1374
73540039.06,-64.0735
73544921.88,-64.1190
73549804.69,-64.1637
73554687.50,-64.1625
73559570.31,-64.1809
73564453.12,-64.1848
73569335.94,-64.1154
73574218.75,-63.7713
73579101.56,-63.8788
73583984.38,-64.0922
73588867.19,-64.1683
73593750.00,-64.1549
73598632.81,-64.0739
73603515.62,-64.0667
73608398.44,-64.0962
73613281.25,-64.0867
73618164.06,-64.0689
73623046.88,-63.7647
73627929.69,-64.0218
73632812.50,-64.2053
73637695.31,-64.2831
73642578.12,-64.2847
73647460.94,-64.1837
73652343.75,-64.1107
73657226.56,-63.9413
73662109.38,-64.0396
73666992.19,-64.0282
73671875.00,-63.6733
73676757.81,-63.9633
73681640.62,-64.0395
73686523.44,-64.0946
73691406.25,-64.1056
73696289.06,-64.1345
73701171.88,-64.1867
73706054.69,-64.1695
73710937.50,-64.1239
73715820.31,-63.9197
73720703.12,-63.8442
73725585.94,-64.0485
73730468.75,-63.9808
73735351.56,-64.0149
73740234.38,-64.0729
73745117.19,-64.1274
73750000.00,-64.1479
73754882.81,-64.1018
73759765.62,-64.0746
73764648.44,-63.8877
73769531.25,-63.9431
73774414.06,-64.0079
73779296.88,-63.9265
73784179.69,-63.9909
73789062.50,-64.1384
73793945.31,-64.1660
73798828.12,-64.1645
73803710.94,-64.1807
73808593.75,-64.1339
73813476.56,-64.1323
73818359.38,-64.1337
73823242.19,-64.1525
73828125.00,-64.1103
73833007.81,-64.1248
73837890.62,-64.1034
73842773.44,-64.0884
73847656.25,-64.1810
73852539.06,-64.1370
73857421.88,-64.1515
73862304.69,-64.0824
73867187.50,-64.1656
73872070.31,-63.9374
73876953.12,-63.9131
73881835.94,-64.0439
73886718.75,-64.1440
73891601.56,-64.1170
73896484.38,-64.1308
73901367.19,-64.1466
73906250.00,-64.1131
73911132.81,-64.1074
73916015.62,-64.1062
73920898.44,-64.0707
73925781.25,-64.0603
73930664.06,-64.0151
73935546.88,-64.0566
73940429.69,-64.1772
73945312.50,-64.0736
73950195.31,-64.0439
73955078.12,-64.1024
73959960.94,-64.0900
73964843.75,-63.9839
73969726.56,-64.1069
73974609.38,-64.0061
73979492.19,-63.9414
73984375.00,-64.0427
73989257.81,-64.0473
73994140.62,-63.9076
73999023.44,-63.8730
74003906.25,-63.9507
74008789.06,-63.9885
74013671.88,-64.0535
74018554.69,-64.0863
74023437.50,-64.1520
74028320.31,-64.0279
74033203.12,-64.0419
74038085.94,-64.0786
74042968.75,-64.1194
74047851.56,-64.0986
74052734.38,-63.8826
74057617.19,-64.0515
74062500.00,-64.1098
74067382.81,-64.1159
74072265.62,-64.0811
74077148.44,-64.0260
74082031.25,-64.1351
74086914.06,-64.1450
74091796.88,-64.2602
74096679.69,-64.1658
74101562.50,-63.8821
74106445.31,-64.0977
74111328.12,-64.1560
74116210.94,-64.1189
74121093.75,-64.1135
74125976.56,-64.1652
74130859.38,-64.1177
74135742.19,-64.1110
74140625.00,-64.1194
74145507.81,-63.8748
74150390.62,-63.6344
74155273.44,-64.0165
74160156.25,-64.1267
74165039.06,-64.1694
74169921.88,-64.1493
74174804.69,-64.0857
74179687.50,-64.0635
74184570.31,-63.9653
74189453.12,-64.0530
74194335.94,-63.7292
74199218.75,-63.6960
74204101.56,-64.0877
74208984.38,-64.0684
74213867.19,-64.0563
74218750.00,-64.1690
74223632.81,-64.1424
74228515.62,-63.9697
74233398.44,-64.0128
74238281.25,-63.8952
74243164.06,-63.4800
74248046.88,-63.7474
74252929.69,-64.0769
74257812.50,-64.1411
74262695.31,-64.0839
74267578.12,-64.0109
74272460.94,-64.1087
74277343.75,-64.0659
74282226.56,-64.0910
74287109.38,-63.9342
74291992.19,-63.5608
74296875.00,-63.9812
74301757.81,-64.0851
74306640.62,-64.0898
74311523.44,-64.0625
74316406.25,-64.1177
74321289.06,-64.2113
74326171.88,-64.1567
74331054.69,-64.0445
74335937.50,-64.0175
74340820.31,-63.9363
74345703.12,-64.1143
74350585.94,-64.1812
74355468.75,-64.2112
74360351.56,-64.2175
74365234.38,-64.1987
74370117.19,-64.1610
74375000.00,-64.1041
74379882.81,-64.1284
74384765.62,-63.9304
74389648.44,-63.6837
74394531.25,-64.0269
74399414.06,-64.1478
74404296.88,-64.1583
74409179.69,-64.0714
74414062.50,-64.1053
74418945.31,-64.1195
74423828.12,-64.1228
74428710.94,-64.1678
74433593.75,-63.9820
74438476.56,-64.0968
74443359.38,-64.1552
74448242.19,-64.0856
74453125.00,-63.9004
74458007.81,-64.0533
74462890.62,-64.1156
74467773.44,-63.9877
74472656.25,-64.0395
74477539.06,-64.0467
74482421.88,-63.9878
74487304.69,-63.9820
74492187.50,-64.0339
74497070.31,-64.1626
74501953.12,-64.0874
74506835.94,-64.0575
74511718.75,-64.0516
74516601.56,-64.1032
74521484.38,-64.1085
74526367.19,-64.0846
74531250.00,-64.0057
74536132.81,-64.0282
74541015.62,-63.9257
74545898.44,-63.8283
74550781.25,-63.9117
74555664.06,-63.9732
74560546.88,-64.0783
74565429.69,-64.1166
74570312.50,-64.1349
74575195.31,-63.7944
74580078.12,-63.9102
74584960.94,-64.0187
74589843.75,-63.9657
74594726.56,-64.0504
74599609.38,-64.0518
74604492.19,-64.0326
74609375.00,-64.0805
74614257.81,-64.1075
74619140.62,-64.0738
74624023.44,-63.9054
74628906.25,-63.9304
74633789.06,-64.1190
74638671.88,-64.1184
74643554.69,-64.1661
74648437.50,-64.1684
74653320.31,-64.1944
74658203.12,-64.1429
74663085.94,-64.0274
74667968.75,-64.0263
74672851.56,-63.9319
74677734.38,-63.9070
74682617.19,-64.1055
74687500.00,-64.0953
74692382.81,-64.0415
74697265.62,-63.8756
74702148.44,-63.9368
74707031.25,-64.1109
74711914.06,-64.1766
74716796.88,-64.1156
74721679.69,-63.7747
74726562.50,-63.9908
74731445.31,-64.1252
74736328.12,-64.1274
74741210.94,-64.0663
74746093.75,-64.0913
74750976.56,-64.0622
74755859.38,-63.9827
74760742.19,-63.9067
74765625.00,-63.8940
74770507.81,-63.6265
74775390.62,-63.9535
74780273.44,-63.9878
74785156.25,-64.0324
74790039.06,-64.0345
74794921.88,-64.0567
74799804.69,-64.0452
74804687.50,-64.0147
74809570.31,-64.0706
74814453.12,-63.8609
74819335.94,-63.6491
74824218.75,-64.0381
74829101.56,-64.0574
74833984.38,-64.0646
74838867.19,-64.1377
74843750.00,-64.0939
74848632.81,-64.0183
74853515.62,-64.1163
74858398.44,-64.2391
74863281.25,-63.8781
74868164.06,-63.8981
74873046.88,-64.1720
74877929.69,-64.1519
74882812.50,-64.0987
74887695.31,-64.1902
74892578.12,-64.2577
74897460.94,-64.1684
74902343.75,-64.1320
74907226.56,-64.1062
74912109.38,-63.6734
74916992.19,-63.9393
74921875.00,-64.2530
74926757.81,-64.2098
74931640.62,-64.2299
74936523.44,-64.1047
74941406.25,-64.0183
74946289.06,-64.1232
74951171.88,-64.1107
74956054.69,-64.0498
74960937.50,-63.8178
74965820.31,-64.1220
74970703.12,-64.2466
